File path,Package,Method,CSEC
.\main\java\module-info.java, unnamed package, module-info, 0
.\main\java\org\jfree\chart\annotations\AbstractAnnotation.java, org.jfree.chart.annotations, AbstractAnnotation, 14
.\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java, org.jfree.chart.annotations, AbstractXYAnnotation, 24
.\main\java\org\jfree\chart\annotations\Annotation.java, org.jfree.chart.annotations, Annotation, 16
.\main\java\org\jfree\chart\annotations\CategoryAnnotation.java, org.jfree.chart.annotations, CategoryAnnotation, 18
.\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java, org.jfree.chart.annotations, CategoryLineAnnotation, 82
.\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java, org.jfree.chart.annotations, CategoryPointerAnnotation, 52
.\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java, org.jfree.chart.annotations, CategoryTextAnnotation, 61
.\main\java\org\jfree\chart\annotations\package-info.java, org.jfree.chart.annotations, package-info, 0
.\main\java\org\jfree\chart\annotations\TextAnnotation.java, org.jfree.chart.annotations, TextAnnotation, 34
.\main\java\org\jfree\chart\annotations\XYAnnotation.java, org.jfree.chart.annotations, XYAnnotation, 43
.\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java, org.jfree.chart.annotations, XYAnnotationBoundsInfo, 10
.\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java, org.jfree.chart.annotations, XYBoxAnnotation, 68
.\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java, org.jfree.chart.annotations, XYDataImageAnnotation, 31
.\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java, org.jfree.chart.annotations, XYDrawableAnnotation, 56
.\main\java\org\jfree\chart\annotations\XYImageAnnotation.java, org.jfree.chart.annotations, XYImageAnnotation, 33
.\main\java\org\jfree\chart\annotations\XYLineAnnotation.java, org.jfree.chart.annotations, XYLineAnnotation, 81
.\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java, org.jfree.chart.annotations, XYPointerAnnotation, 55
.\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java, org.jfree.chart.annotations, XYPolygonAnnotation, 61
.\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java, org.jfree.chart.annotations, XYShapeAnnotation, 62
.\main\java\org\jfree\chart\annotations\XYTextAnnotation.java, org.jfree.chart.annotations, XYTextAnnotation, 115
.\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java, org.jfree.chart.annotations, XYTitleAnnotation, 92
.\main\java\org\jfree\chart\api\HorizontalAlignment.java, org.jfree.chart.api, HorizontalAlignment, 77
.\main\java\org\jfree\chart\api\Layer.java, org.jfree.chart.api, Layer, 134
.\main\java\org\jfree\chart\api\LengthAdjustmentType.java, org.jfree.chart.api, LengthAdjustmentType, 39
.\main\java\org\jfree\chart\api\package-info.java, org.jfree.chart.api, package-info, 0
.\main\java\org\jfree\chart\api\PublicCloneable.java, org.jfree.chart.api, PublicCloneable, 551
.\main\java\org\jfree\chart\api\RectangleAlignment.java, org.jfree.chart.api, RectangleAlignment, 33
.\main\java\org\jfree\chart\api\RectangleAnchor.java, org.jfree.chart.api, RectangleAnchor, 235
.\main\java\org\jfree\chart\api\RectangleEdge.java, org.jfree.chart.api, RectangleEdge, 987
.\main\java\org\jfree\chart\api\RectangleInsets.java, org.jfree.chart.api, RectangleInsets, 295
.\main\java\org\jfree\chart\api\Rotation.java, org.jfree.chart.api, Rotation, 27
.\main\java\org\jfree\chart\api\SortOrder.java, org.jfree.chart.api, SortOrder, 47
.\main\java\org\jfree\chart\api\TableOrder.java, org.jfree.chart.api, TableOrder, 56
.\main\java\org\jfree\chart\api\UnitType.java, org.jfree.chart.api, UnitType, 31
.\main\java\org\jfree\chart\api\VerticalAlignment.java, org.jfree.chart.api, VerticalAlignment, 75
.\main\java\org\jfree\chart\api\XYCoordinateType.java, org.jfree.chart.api, XYCoordinateType, 7
.\main\java\org\jfree\chart\axis\Axis.java, org.jfree.chart.axis, Axis, 289
.\main\java\org\jfree\chart\axis\AxisCollection.java, org.jfree.chart.axis, AxisCollection, 19
.\main\java\org\jfree\chart\axis\AxisLabelLocation.java, org.jfree.chart.axis, AxisLabelLocation, 26
.\main\java\org\jfree\chart\axis\AxisLocation.java, org.jfree.chart.axis, AxisLocation, 133
.\main\java\org\jfree\chart\axis\AxisSpace.java, org.jfree.chart.axis, AxisSpace, 135
.\main\java\org\jfree\chart\axis\AxisState.java, org.jfree.chart.axis, AxisState, 108
.\main\java\org\jfree\chart\axis\CategoryAnchor.java, org.jfree.chart.axis, CategoryAnchor, 40
.\main\java\org\jfree\chart\axis\CategoryAxis.java, org.jfree.chart.axis, CategoryAxis, 407
.\main\java\org\jfree\chart\axis\CategoryLabelPosition.java, org.jfree.chart.axis, CategoryLabelPosition, 145
.\main\java\org\jfree\chart\axis\CategoryLabelPositions.java, org.jfree.chart.axis, CategoryLabelPositions, 171
.\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java, org.jfree.chart.axis, CategoryLabelWidthType, 50
.\main\java\org\jfree\chart\axis\CategoryTick.java, org.jfree.chart.axis, CategoryTick, 40
.\main\java\org\jfree\chart\axis\CompassFormat.java, org.jfree.chart.axis, CompassFormat, 2
.\main\java\org\jfree\chart\axis\CyclicNumberAxis.java, org.jfree.chart.axis, CyclicNumberAxis, 132
.\main\java\org\jfree\chart\axis\DateAxis.java, org.jfree.chart.axis, DateAxis, 368
.\main\java\org\jfree\chart\axis\DateTick.java, org.jfree.chart.axis, DateTick, 57
.\main\java\org\jfree\chart\axis\DateTickMarkPosition.java, org.jfree.chart.axis, DateTickMarkPosition, 76
.\main\java\org\jfree\chart\axis\DateTickUnit.java, org.jfree.chart.axis, DateTickUnit, 135
.\main\java\org\jfree\chart\axis\DateTickUnitType.java, org.jfree.chart.axis, DateTickUnitType, 132
.\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java, org.jfree.chart.axis, ExtendedCategoryAxis, 46
.\main\java\org\jfree\chart\axis\LogarithmicAxis.java, org.jfree.chart.axis, LogarithmicAxis, 58
.\main\java\org\jfree\chart\axis\LogAxis.java, org.jfree.chart.axis, LogAxis, 136
.\main\java\org\jfree\chart\axis\LogTick.java, org.jfree.chart.axis, LogTick, 17
.\main\java\org\jfree\chart\axis\MarkerAxisBand.java, org.jfree.chart.axis, MarkerAxisBand, 35
.\main\java\org\jfree\chart\axis\ModuloAxis.java, org.jfree.chart.axis, ModuloAxis, 35
.\main\java\org\jfree\chart\axis\MonthDateFormat.java, org.jfree.chart.axis, MonthDateFormat, 27
.\main\java\org\jfree\chart\axis\NumberAxis.java, org.jfree.chart.axis, NumberAxis, 608
.\main\java\org\jfree\chart\axis\NumberTick.java, org.jfree.chart.axis, NumberTick, 28
.\main\java\org\jfree\chart\axis\NumberTickUnit.java, org.jfree.chart.axis, NumberTickUnit, 67
.\main\java\org\jfree\chart\axis\NumberTickUnitSource.java, org.jfree.chart.axis, NumberTickUnitSource, 14
.\main\java\org\jfree\chart\axis\package-info.java, org.jfree.chart.axis, package-info, 0
.\main\java\org\jfree\chart\axis\PeriodAxis.java, org.jfree.chart.axis, PeriodAxis, 154
.\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, org.jfree.chart.axis, PeriodAxisLabelInfo, 80
.\main\java\org\jfree\chart\axis\QuarterDateFormat.java, org.jfree.chart.axis, QuarterDateFormat, 23
.\main\java\org\jfree\chart\axis\StandardTickUnitSource.java, org.jfree.chart.axis, StandardTickUnitSource, 15
.\main\java\org\jfree\chart\axis\SubCategoryAxis.java, org.jfree.chart.axis, SubCategoryAxis, 75
.\main\java\org\jfree\chart\axis\SymbolAxis.java, org.jfree.chart.axis, SymbolAxis, 94
.\main\java\org\jfree\chart\axis\Tick.java, org.jfree.chart.axis, Tick, 28
.\main\java\org\jfree\chart\axis\TickType.java, org.jfree.chart.axis, TickType, 36
.\main\java\org\jfree\chart\axis\TickUnit.java, org.jfree.chart.axis, TickUnit, 46
.\main\java\org\jfree\chart\axis\TickUnits.java, org.jfree.chart.axis, TickUnits, 25
.\main\java\org\jfree\chart\axis\TickUnitSource.java, org.jfree.chart.axis, TickUnitSource, 24
.\main\java\org\jfree\chart\axis\Timeline.java, org.jfree.chart.axis, Timeline, 5
.\main\java\org\jfree\chart\axis\ValueAxis.java, org.jfree.chart.axis, ValueAxis, 627
.\main\java\org\jfree\chart\axis\ValueTick.java, org.jfree.chart.axis, ValueTick, 54
.\main\java\org\jfree\chart\block\AbstractBlock.java, org.jfree.chart.block, AbstractBlock, 61
.\main\java\org\jfree\chart\block\Arrangement.java, org.jfree.chart.block, Arrangement, 20
.\main\java\org\jfree\chart\block\Block.java, org.jfree.chart.block, Block, 71
.\main\java\org\jfree\chart\block\BlockBorder.java, org.jfree.chart.block, BlockBorder, 37
.\main\java\org\jfree\chart\block\BlockContainer.java, org.jfree.chart.block, BlockContainer, 144
.\main\java\org\jfree\chart\block\BlockFrame.java, org.jfree.chart.block, BlockFrame, 11
.\main\java\org\jfree\chart\block\BlockParams.java, org.jfree.chart.block, BlockParams, 7
.\main\java\org\jfree\chart\block\BlockResult.java, org.jfree.chart.block, BlockResult, 19
.\main\java\org\jfree\chart\block\BorderArrangement.java, org.jfree.chart.block, BorderArrangement, 155
.\main\java\org\jfree\chart\block\CenterArrangement.java, org.jfree.chart.block, CenterArrangement, 63
.\main\java\org\jfree\chart\block\ColorBlock.java, org.jfree.chart.block, ColorBlock, 29
.\main\java\org\jfree\chart\block\ColumnArrangement.java, org.jfree.chart.block, ColumnArrangement, 80
.\main\java\org\jfree\chart\block\EmptyBlock.java, org.jfree.chart.block, EmptyBlock, 229
.\main\java\org\jfree\chart\block\EntityBlockParams.java, org.jfree.chart.block, EntityBlockParams, 18
.\main\java\org\jfree\chart\block\EntityBlockResult.java, org.jfree.chart.block, EntityBlockResult, 15
.\main\java\org\jfree\chart\block\FlowArrangement.java, org.jfree.chart.block, FlowArrangement, 95
.\main\java\org\jfree\chart\block\GridArrangement.java, org.jfree.chart.block, GridArrangement, 106
.\main\java\org\jfree\chart\block\LabelBlock.java, org.jfree.chart.block, LabelBlock, 67
.\main\java\org\jfree\chart\block\LengthConstraintType.java, org.jfree.chart.block, LengthConstraintType, 201
.\main\java\org\jfree\chart\block\LineBorder.java, org.jfree.chart.block, LineBorder, 32
.\main\java\org\jfree\chart\block\package-info.java, org.jfree.chart.block, package-info, 0
.\main\java\org\jfree\chart\block\RectangleConstraint.java, org.jfree.chart.block, RectangleConstraint, 246
.\main\java\org\jfree\chart\block\Size2D.java, org.jfree.chart.block, Size2D, 252
.\main\java\org\jfree\chart\ChartColor.java, org.jfree.chart, ChartColor, 2
.\main\java\org\jfree\chart\ChartElement.java, org.jfree.chart, ChartElement, 15
.\main\java\org\jfree\chart\ChartElementVisitor.java, org.jfree.chart, ChartElementVisitor, 39
.\main\java\org\jfree\chart\ChartFactory.java, org.jfree.chart, ChartFactory, 749
.\main\java\org\jfree\chart\ChartHints.java, org.jfree.chart, ChartHints, 5
.\main\java\org\jfree\chart\ChartRenderingInfo.java, org.jfree.chart, ChartRenderingInfo, 104
.\main\java\org\jfree\chart\ChartTheme.java, org.jfree.chart, ChartTheme, 8
.\main\java\org\jfree\chart\ChartTransferable.java, org.jfree.chart, ChartTransferable, 9
.\main\java\org\jfree\chart\ChartUtils.java, org.jfree.chart, ChartUtils, 90
.\main\java\org\jfree\chart\date\MonthConstants.java, org.jfree.chart.date, MonthConstants, 126
.\main\java\org\jfree\chart\date\package-info.java, org.jfree.chart.date, package-info, 0
.\main\java\org\jfree\chart\date\SerialDate.java, org.jfree.chart.date, SerialDate, 54
.\main\java\org\jfree\chart\date\SpreadsheetDate.java, org.jfree.chart.date, SpreadsheetDate, 30
.\main\java\org\jfree\chart\Drawable.java, org.jfree.chart, Drawable, 14
.\main\java\org\jfree\chart\encoders\EncoderUtil.java, org.jfree.chart.encoders, EncoderUtil, 25
.\main\java\org\jfree\chart\encoders\ImageEncoder.java, org.jfree.chart.encoders, ImageEncoder, 19
.\main\java\org\jfree\chart\encoders\ImageEncoderFactory.java, org.jfree.chart.encoders, ImageEncoderFactory, 19
.\main\java\org\jfree\chart\encoders\ImageFormat.java, org.jfree.chart.encoders, ImageFormat, 10
.\main\java\org\jfree\chart\encoders\package-info.java, org.jfree.chart.encoders, package-info, 0
.\main\java\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java, org.jfree.chart.encoders, SunJPEGEncoderAdapter, 5
.\main\java\org\jfree\chart\encoders\SunPNGEncoderAdapter.java, org.jfree.chart.encoders, SunPNGEncoderAdapter, 6
.\main\java\org\jfree\chart\entity\AxisEntity.java, org.jfree.chart.entity, AxisEntity, 17
.\main\java\org\jfree\chart\entity\CategoryItemEntity.java, org.jfree.chart.entity, CategoryItemEntity, 27
.\main\java\org\jfree\chart\entity\CategoryLabelEntity.java, org.jfree.chart.entity, CategoryLabelEntity, 18
.\main\java\org\jfree\chart\entity\ChartEntity.java, org.jfree.chart.entity, ChartEntity, 68
.\main\java\org\jfree\chart\entity\EntityCollection.java, org.jfree.chart.entity, EntityCollection, 152
.\main\java\org\jfree\chart\entity\FlowEntity.java, org.jfree.chart.entity, FlowEntity, 30
.\main\java\org\jfree\chart\entity\JFreeChartEntity.java, org.jfree.chart.entity, JFreeChartEntity, 17
.\main\java\org\jfree\chart\entity\LegendItemEntity.java, org.jfree.chart.entity, LegendItemEntity, 18
.\main\java\org\jfree\chart\entity\NodeEntity.java, org.jfree.chart.entity, NodeEntity, 11
.\main\java\org\jfree\chart\entity\package-info.java, org.jfree.chart.entity, package-info, 0
.\main\java\org\jfree\chart\entity\PieSectionEntity.java, org.jfree.chart.entity, PieSectionEntity, 33
.\main\java\org\jfree\chart\entity\PlotEntity.java, org.jfree.chart.entity, PlotEntity, 17
