File path,Total lines
module-info.java,43
ChartColor.java,149
ChartElement.java,48
ChartElementVisitor.java,47
ChartFactory.java,1870
ChartHints.java,93
ChartRenderingInfo.java,231
ChartTheme.java,51
ChartTransferable.java,231
ChartUtils.java,630
Drawable.java,43
JFreeChart.java,1504
package-info.java,4
StandardChartTheme.java,1644
AbstractAnnotation.java,198
AbstractXYAnnotation.java,186
Annotation.java,57
CategoryAnnotation.java,60
CategoryLineAnnotation.java,390
CategoryPointerAnnotation.java,480
CategoryTextAnnotation.java,246
package-info.java,4
TextAnnotation.java,314
XYAnnotation.java,64
XYAnnotationBoundsInfo.java,64
XYBoxAnnotation.java,342
XYDataImageAnnotation.java,335
XYDrawableAnnotation.java,270
XYImageAnnotation.java,272
XYLineAnnotation.java,331
XYPointerAnnotation.java,494
XYPolygonAnnotation.java,321
XYShapeAnnotation.java,272
XYTextAnnotation.java,583
XYTitleAnnotation.java,359
HorizontalAlignment.java,48
Layer.java,37
LengthAdjustmentType.java,47
package-info.java,4
PublicCloneable.java,53
RectangleAlignment.java,128
RectangleAnchor.java,152
RectangleEdge.java,107
RectangleInsets.java,483
Rotation.java,67
SortOrder.java,44
TableOrder.java,44
UnitType.java,44
VerticalAlignment.java,48
XYCoordinateType.java,53
Axis.java,1536
AxisCollection.java,127
AxisLabelLocation.java,47
AxisLocation.java,81
AxisSpace.java,342
AxisState.java,175
CategoryAnchor.java,48
CategoryAxis.java,1296
CategoryLabelPosition.java,229
CategoryLabelPositions.java,366
CategoryLabelWidthType.java,45
CategoryTick.java,132
CompassFormat.java,140
CyclicNumberAxis.java,1048
DateAxis.java,1670
DateTick.java,120
DateTickMarkPosition.java,53
DateTickUnit.java,317
DateTickUnitType.java,74
ExtendedCategoryAxis.java,230
LogarithmicAxis.java,951
LogAxis.java,965
LogTick.java,72
MarkerAxisBand.java,242
ModuloAxis.java,398
MonthDateFormat.java,230
NumberAxis.java,1024
NumberTick.java,84
NumberTickUnit.java,139
NumberTickUnitSource.java,214
package-info.java,4
PeriodAxis.java,1098
PeriodAxisLabelInfo.java,320
QuarterDateFormat.java,177
StandardTickUnitSource.java,119
SubCategoryAxis.java,397
SymbolAxis.java,681
Tick.java,157
TickType.java,45
TickUnit.java,167
TickUnits.java,195
TickUnitSource.java,74
Timeline.java,133
ValueAxis.java,1523
ValueTick.java,123
AbstractBlock.java,585
Arrangement.java,68
Block.java,101
BlockBorder.java,214
BlockContainer.java,254
BlockFrame.java,60
BlockParams.java,125
BlockResult.java,72
BorderArrangement.java,511
CenterArrangement.java,300
ColorBlock.java,175
ColumnArrangement.java,356
EmptyBlock.java,111
EntityBlockParams.java,54
EntityBlockResult.java,53
FlowArrangement.java,411
GridArrangement.java,408
LabelBlock.java,383
LengthConstraintType.java,52
LineBorder.java,214
package-info.java,4
RectangleConstraint.java,320
Size2D.java,149
MonthConstants.java,65
package-info.java,4
SerialDate.java,856
SpreadsheetDate.java,405
EncoderUtil.java,178
ImageEncoder.java,95
ImageEncoderFactory.java,143
ImageFormat.java,52
package-info.java,4
SunJPEGEncoderAdapter.java,156
SunPNGEncoderAdapter.java,117
AxisEntity.java,191
CategoryItemEntity.java,175
CategoryLabelEntity.java,117
ChartEntity.java,371
EntityCollection.java,95
FlowEntity.java,104
JFreeChartEntity.java,190
LegendItemEntity.java,154
NodeEntity.java,88
package-info.java,4
PieSectionEntity.java,211
PlotEntity.java,190
StandardEntityCollection.java,190
TickLabelEntity.java,57
TitleEntity.java,190
XYAnnotationEntity.java,101
XYItemEntity.java,153
AnnotationChangeEvent.java,66
AnnotationChangeListener.java,50
AxisChangeEvent.java,62
AxisChangeListener.java,55
ChartChangeEvent.java,115
ChartChangeEventType.java,47
ChartChangeListener.java,52
ChartProgressEvent.java,115
ChartProgressEventType.java,45
ChartProgressListener.java,49
MarkerChangeEvent.java,63
MarkerChangeListener.java,50
package-info.java,6
PlotChangeEvent.java,64
PlotChangeListener.java,50
RendererChangeEvent.java,87
RendererChangeListener.java,49
TitleChangeEvent.java,61
TitleChangeListener.java,50
DynamicDriveToolTipTagFragmentGenerator.java,86
ImageMapUtils.java,239
OverLIBToolTipTagFragmentGenerator.java,69
package-info.java,4
StandardToolTipTagFragmentGenerator.java,65
StandardURLTagFragmentGenerator.java,66
ToolTipTagFragmentGenerator.java,61
URLTagFragmentGenerator.java,62
Args.java,114
ArrayUtils.java,188
CloneUtils.java,174
HashUtils.java,192
LineUtils.java,151
package-info.java,4
PaintUtils.java,201
SerialUtils.java,634
ShapeUtils.java,489
AbstractCategoryItemLabelGenerator.java,286
AbstractPieItemLabelGenerator.java,213
AbstractXYItemLabelGenerator.java,315
BoxAndWhiskerToolTipGenerator.java,133
BoxAndWhiskerXYToolTipGenerator.java,142
BubbleXYItemLabelGenerator.java,242
CategoryItemLabelGenerator.java,77
CategorySeriesLabelGenerator.java,56
CategoryToolTipGenerator.java,61
CrosshairLabelGenerator.java,50
CustomXYToolTipGenerator.java,169
FlowLabelGenerator.java,54
HighLowItemLabelGenerator.java,198
IntervalCategoryItemLabelGenerator.java,122
IntervalCategoryToolTipGenerator.java,141
IntervalXYItemLabelGenerator.java,247
IntervalXYToolTipGenerator.java,243
ItemLabelAnchor.java,92
ItemLabelPosition.java,170
MultipleXYSeriesLabelGenerator.java,212
package-info.java,4
PieSectionLabelGenerator.java,85
PieToolTipGenerator.java,54
StandardCategoryItemLabelGenerator.java,133
StandardCategorySeriesLabelGenerator.java,144
StandardCategoryToolTipGenerator.java,119
StandardCrosshairLabelGenerator.java,137
StandardFlowLabelGenerator.java,115
StandardPieSectionLabelGenerator.java,230
StandardPieToolTipGenerator.java,129
StandardXYItemLabelGenerator.java,173
StandardXYSeriesLabelGenerator.java,151
StandardXYToolTipGenerator.java,174
StandardXYZToolTipGenerator.java,231
SymbolicXYItemLabelGenerator.java,156
XYItemLabelGenerator.java,54
XYSeriesLabelGenerator.java,57
XYToolTipGenerator.java,53
XYZToolTipGenerator.java,53
LegendGraphic.java,683
LegendItem.java,983
LegendItemBlockContainer.java,170
LegendItemCollection.java,142
LegendItemSource.java,50
LegendRenderingOrder.java,45
LegendTitle.java,617
package-info.java,4
PaintScaleLegend.java,662
CategoryCrosshairState.java,157
CategoryMarker.java,174
CategoryPlot.java,4523
CenterTextMode.java,47
CombinedDomainCategoryPlot.java,613
CombinedDomainXYPlot.java,691
CombinedRangeCategoryPlot.java,515
CombinedRangeXYPlot.java,646
Crosshair.java,674
CrosshairState.java,324
DatasetRenderingOrder.java,60
DefaultDrawingSupplier.java,463
DialShape.java,48
DrawingSupplier.java,88
FastScatterPlot.java,974
IntervalMarker.java,197
Marker.java,603
MeterInterval.java,198
MeterPlot.java,1163
package-info.java,4
Pannable.java,80
Plot.java,1319
PlotOrientation.java,65
PlotRenderingInfo.java,264
PlotState.java,61
PolarAxisLocation.java,62
PolarPlot.java,1841
RingPlot.java,630
SeriesRenderingOrder.java,58
SpiderWebPlot.java,1281
ThermometerPlot.java,1444
ValueAxisPlot.java,53
ValueMarker.java,135
