File path,Total non-comment lines
module-info.java,40
ChartColor.java,70
ChartElement.java,4
ChartElementVisitor.java,4
ChartFactory.java,1000
ChartHints.java,25
ChartRenderingInfo.java,97
ChartTheme.java,4
ChartTransferable.java,102
ChartUtils.java,235
Drawable.java,6
JFreeChart.java,780
package-info.java,1
StandardChartTheme.java,947
AbstractAnnotation.java,68
AbstractXYAnnotation.java,77
Annotation.java,7
CategoryAnnotation.java,10
CategoryLineAnnotation.java,198
CategoryPointerAnnotation.java,237
CategoryTextAnnotation.java,123
package-info.java,1
TextAnnotation.java,137
XYAnnotation.java,11
XYAnnotationBoundsInfo.java,7
XYBoxAnnotation.java,176
XYDataImageAnnotation.java,159
XYDrawableAnnotation.java,143
XYImageAnnotation.java,134
XYLineAnnotation.java,180
XYPointerAnnotation.java,252
XYPolygonAnnotation.java,171
XYShapeAnnotation.java,152
XYTextAnnotation.java,282
XYTitleAnnotation.java,212
HorizontalAlignment.java,6
Layer.java,5
LengthAdjustmentType.java,6
package-info.java,1
PublicCloneable.java,5
RectangleAlignment.java,80
RectangleAnchor.java,95
RectangleEdge.java,42
RectangleInsets.java,245
Rotation.java,12
SortOrder.java,5
TableOrder.java,5
UnitType.java,5
VerticalAlignment.java,6
XYCoordinateType.java,6
Axis.java,789
AxisCollection.java,49
AxisLabelLocation.java,6
AxisLocation.java,26
AxisSpace.java,189
AxisState.java,66
CategoryAnchor.java,6
CategoryAxis.java,726
CategoryLabelPosition.java,99
CategoryLabelPositions.java,217
CategoryLabelWidthType.java,5
CategoryTick.java,55
CompassFormat.java,48
CyclicNumberAxis.java,653
DateAxis.java,1063
DateTick.java,42
DateTickMarkPosition.java,6
DateTickUnit.java,140
DateTickUnitType.java,18
ExtendedCategoryAxis.java,106
LogarithmicAxis.java,561
LogAxis.java,565
LogTick.java,14
MarkerAxisBand.java,133
ModuloAxis.java,215
MonthDateFormat.java,98
NumberAxis.java,597
NumberTick.java,19
NumberTickUnit.java,55
NumberTickUnitSource.java,157
package-info.java,1
PeriodAxis.java,670
PeriodAxisLabelInfo.java,158
QuarterDateFormat.java,81
StandardTickUnitSource.java,39
SubCategoryAxis.java,233
SymbolAxis.java,423
Tick.java,65
TickType.java,5
TickUnit.java,64
TickUnits.java,72
TickUnitSource.java,6
Timeline.java,11
ValueAxis.java,767
ValueTick.java,42
AbstractBlock.java,259
Arrangement.java,7
Block.java,13
BlockBorder.java,101
BlockContainer.java,126
BlockFrame.java,9
BlockParams.java,30
BlockResult.java,15
BorderArrangement.java,382
CenterArrangement.java,140
ColorBlock.java,72
ColumnArrangement.java,208
EmptyBlock.java,33
EntityBlockParams.java,4
EntityBlockResult.java,5
FlowArrangement.java,234
GridArrangement.java,242
LabelBlock.java,179
LengthConstraintType.java,6
LineBorder.java,118
package-info.java,1
RectangleConstraint.java,149
Size2D.java,59
MonthConstants.java,15
package-info.java,1
SerialDate.java,355
SpreadsheetDate.java,175
EncoderUtil.java,53
ImageEncoder.java,13
ImageEncoderFactory.java,52
ImageFormat.java,6
package-info.java,1
SunJPEGEncoderAdapter.java,59
SunPNGEncoderAdapter.java,36
AxisEntity.java,79
CategoryItemEntity.java,65
CategoryLabelEntity.java,45
ChartEntity.java,181
EntityCollection.java,13
FlowEntity.java,38
JFreeChartEntity.java,79
LegendItemEntity.java,56
NodeEntity.java,23
package-info.java,1
PieSectionEntity.java,81
PlotEntity.java,79
StandardEntityCollection.java,86
TickLabelEntity.java,10
TitleEntity.java,79
XYAnnotationEntity.java,35
XYItemEntity.java,56
AnnotationChangeEvent.java,14
AnnotationChangeListener.java,6
AxisChangeEvent.java,12
AxisChangeListener.java,5
ChartChangeEvent.java,34
ChartChangeEventType.java,6
ChartChangeListener.java,5
ChartProgressEvent.java,35
ChartProgressEventType.java,5
ChartProgressListener.java,5
MarkerChangeEvent.java,12
MarkerChangeListener.java,6
package-info.java,1
PlotChangeEvent.java,12
PlotChangeListener.java,5
RendererChangeEvent.java,19
RendererChangeListener.java,5
TitleChangeEvent.java,12
TitleChangeListener.java,5
DynamicDriveToolTipTagFragmentGenerator.java,20
ImageMapUtils.java,123
OverLIBToolTipTagFragmentGenerator.java,13
package-info.java,1
StandardToolTipTagFragmentGenerator.java,12
StandardURLTagFragmentGenerator.java,11
ToolTipTagFragmentGenerator.java,4
URLTagFragmentGenerator.java,8
Args.java,34
ArrayUtils.java,106
CloneUtils.java,89
HashUtils.java,65
LineUtils.java,84
package-info.java,1
PaintUtils.java,117
SerialUtils.java,418
ShapeUtils.java,262
AbstractCategoryItemLabelGenerator.java,135
AbstractPieItemLabelGenerator.java,103
AbstractXYItemLabelGenerator.java,155
BoxAndWhiskerToolTipGenerator.java,52
BoxAndWhiskerXYToolTipGenerator.java,57
BubbleXYItemLabelGenerator.java,115
CategoryItemLabelGenerator.java,7
CategorySeriesLabelGenerator.java,5
CategoryToolTipGenerator.java,5
CrosshairLabelGenerator.java,5
CustomXYToolTipGenerator.java,77
FlowLabelGenerator.java,6
HighLowItemLabelGenerator.java,106
IntervalCategoryItemLabelGenerator.java,54
IntervalCategoryToolTipGenerator.java,64
IntervalXYItemLabelGenerator.java,128
IntervalXYToolTipGenerator.java,124
ItemLabelAnchor.java,28
ItemLabelPosition.java,76
MultipleXYSeriesLabelGenerator.java,112
package-info.java,1
PieSectionLabelGenerator.java,11
PieToolTipGenerator.java,5
StandardCategoryItemLabelGenerator.java,47
StandardCategorySeriesLabelGenerator.java,57
StandardCategoryToolTipGenerator.java,43
StandardCrosshairLabelGenerator.java,57
StandardFlowLabelGenerator.java,47
StandardPieSectionLabelGenerator.java,85
StandardPieToolTipGenerator.java,37
StandardXYItemLabelGenerator.java,58
StandardXYSeriesLabelGenerator.java,58
StandardXYToolTipGenerator.java,59
StandardXYZToolTipGenerator.java,109
